E,N,s,d,v
545653.1837308297,2818720.996671245,2808.035381442721,-2.55,7.058
545646.4807982094,2818707.9566117665,2822.6973745272894,-2.55,7.058
545631.7044215312,2818679.187084259,2854.9547831225236,-2.55,7.058
545624.2683078379,2818664.011069258,2871.8315307115477,-2.55,7.058
545612.6207916491,2818645.1923812763,2893.9002060906205,-5.1,7.058
545606.8431144324,2818634.7355561634,2906.438332306671,-5.1,7.058
545600.7597168355,2818626.580692628,2917.227878564766,-5.1,7.058
545582.3715839824,2818610.2750832126,2943.9884434429237,-5.1,7.058
545571.4244158536,2818607.0401673955,2957.0676286332973,-5.1,7.058
545546.2969873191,2818606.3962559267,2984.0295973547195,-5.1,7.058
545536.059152165,2818609.947723253,2995.4275670038187,-5.1,7.058
545523.0962877996,2818616.2905352064,3011.9896160687103,-5.1,7.058
545514.1845502682,2818625.4373553577,3025.747062662421,-5.1,7.058
545505.2487935201,2818639.9468426337,3043.587049156751,-5.1,7.058
545491.3522766678,2818664.3481453755,3071.6134925961487,-5.1,7.058
545480.1388822149,2818684.165489317,3094.3153543798953,-5.1,7.058
545472.8343266574,2818696.350861876,3108.462394391411,-5.1,7.058
545462.424342488,2818714.334020256,3129.440100625677,-5.1,7.058
545453.8464555078,2818730.154253022,3147.4008998645813,-5.1,7.058
545439.4896111687,2818756.7365513914,3177.660355885065,-5.1,7.058
545431.4594547926,2818770.5646119188,3193.4997504047296,-5.1,7.058
545421.923300801,2818787.6235365965,3213.2469315567287,-5.1,7.058
545413.1657954059,2818803.687587863,3231.3257624081853,-5.1,7.058
545405.6934438108,2818816.5127437515,3246.5154733965906,-5.1,7.058
545394.8693139614,2818835.104322017,3267.690681067002,-5.1,7.058
545388.2725060357,2818846.6096115564,3280.791773482567,-5.1,7.058
545376.5501087232,2818868.165282561,3305.8380170365785,-5.1,7.058
545368.5940438804,2818882.0299796504,3321.8179890120123,-5.1,7.058
545356.6360783253,2818904.7104057707,3347.7943437338517,-5.1,7.058
545348.3129790439,2818919.9026152347,3364.5720441661897,-5.1,7.058
545339.8812544656,2818935.90272391,3382.4865005713923,-5.1,7.058
545328.6737125596,2818955.9673716025,3406.1166056753677,-5.1,7.058
545320.0006253149,2818971.2443094403,3423.4509157352363,-5.1,7.058
545308.443620963,2818991.076010819,3446.497537319142,-5.1,7.058
545300.8887538161,2819004.2992818686,3461.5798290252555,-5.1,7.058
545287.9644358379,2819026.573061373,3487.739318288145,-5.1,7.058
545279.6789106643,2819038.8304032306,3502.158049008123,-2.55,7.058
545268.8457134023,2819057.9055461525,3524.26880422196,-2.55,7.058
545259.1034210678,2819074.3135932316,3543.5388679866373,-2.55,7.058
545248.8444696111,2819092.185180124,3564.2835489420904,-2.55,7.058
545240.8022600254,2819105.842111657,3580.1391575309067,-2.55,7.058
545228.1981814546,2819129.9101867154,3607.2112118732584,-2.55,7.058
545220.6042711964,2819144.4882339626,3624.0401627322663,-2.55,7.058
545213.3197402601,2819158.785913436,3640.0140789178936,-2.55,7.058
545200.2444466937,2819179.3067299114,3664.257412738724,0.0,7.058
545193.3372721064,2819191.2129511153,3678.031625865068,0.0,7.058
545187.0252808005,2819201.291067907,3690.043770792676,0.0,0.0
