s,E,N,kappa_c,nx,ny
0.0,545186.839590963,2819201.318738371,-0.0019543976485427513,-0.8623130291092264,-0.5063755916594623
15.807263306383438,545178.9473929196,2819215.014824793,-0.0001559777539323023,-0.8692425191349041,-0.494385925090921
36.7972196404493,545168.5614054708,2819233.255151863,0.0006211944930623755,-0.8665026627222011,-0.4991724506574212
66.63977915971294,545153.6483698082,2819259.1043244996,0.0007088166688235414,-0.8722863915234923,-0.48899534881522616
98.63282947435202,545138.2687903402,2819287.158269032,0.00038899038028933656,-0.8728989731378686,-0.48790099681682797
128.13096978259662,545123.5600512384,2819312.7276506373,-0.00010577873504622045,-0.8664128077544095,-0.49932839550652486
141.42203115818867,545116.9262743077,2819324.24482547,-0.0005925810091332241,-0.8643591638176433,-0.5028749704692653
157.31288624615502,545108.9783574392,2819338.0052721514,-0.0009381027433659011,-0.8742965272866081,-0.4853921943898329
171.48941430758697,545102.2419112577,2819350.479014201,-0.0010586262085825822,-0.8778876728835397,-0.478866613786264
196.53070424294364,545089.9024729306,2819372.2690225397,-0.0009200296450657289,-0.8719152253842611,-0.4896568591811139
218.7770101527843,545079.2379728195,2819391.792510036,-0.0005377872625413334,-0.879052665899234,-0.4767246695687666
239.13526376882982,545069.5348317153,2819409.68964788,0.0003443444073325098,-0.8816928547496188,-0.47182381233196324
259.16640460673614,545060.1632389742,2819427.393315657,0.002139576585322127,-0.8830572161551418,-0.46926533325649716
295.9229573015993,545042.8334462111,2819459.808164859,0.0011098019584557086,-0.8861442907677533,-0.4634094258209639
317.43596950043036,545032.753485004,2819478.8135345196,0.0022473153436004633,-0.8720454848001598,-0.48942483839671885
337.6528384355661,545022.6248623412,2819496.3101854133,-0.0014967561705621494,-0.8716826210371663,-0.4900708195575164
359.19591715289505,545012.3624309876,2819515.2518522707,-0.0026877919295277474,-0.8745815865009622,-0.4848783853230208
397.513093860015,544992.915674477,2819548.2674499787,-0.007640085889708146,-0.8667756552573034,-0.4986982689495447
416.57552708724364,544984.0088334051,2819565.1210710336,-0.007560154807099788,-0.9058109463780295,-0.4236821089233515
